using saved model.
start training - 2017-02-05 18:22:43.968000
ep: 60400, running mean: 2.783588
ep: 60500, running mean: 2.724211
ep: 60600, running mean: 2.900743
ep: 60700, running mean: 2.870774
ep: 60800, running mean: 2.958345
ep: 60900, running mean: 2.979902
ep: 61000, running mean: 2.808357
ep: 61100, running mean: 2.831405
ep: 61200, running mean: 2.810565
ep: 61300, running mean: 2.844930
ep: 61400, running mean: 2.995950
ep: 61500, running mean: 2.977219
ep: 61600, running mean: 2.943716
ep: 61700, running mean: 2.891126
ep: 61800, running mean: 2.786904
ep: 61900, running mean: 2.617128
ep: 62000, running mean: 2.581774
ep: 62100, running mean: 2.486117
ep: 62200, running mean: 2.743899
ep: 62300, running mean: 2.752752
ep: 62400, running mean: 2.607766
ep: 62500, running mean: 2.780139
ep: 62600, running mean: 2.647567
ep: 62700, running mean: 2.567341
ep: 62800, running mean: 2.527879
ep: 62900, running mean: 2.536457
ep: 63000, running mean: 2.618111
ep: 63100, running mean: 2.732408
ep: 63200, running mean: 2.837661
ep: 63300, running mean: 3.064558
ep: 63400, running mean: 3.116171
ep: 63500, running mean: 2.968942
ep: 63600, running mean: 3.050999
ep: 63700, running mean: 3.138688
ep: 63800, running mean: 3.223115
ep: 63900, running mean: 3.444263
ep: 64000, running mean: 3.462783
ep: 64100, running mean: 3.513906
ep: 64200, running mean: 3.483572
ep: 64300, running mean: 3.398065
ep: 64400, running mean: 3.379901
ep: 64500, running mean: 3.287003
ep: 64600, running mean: 3.332464
ep: 64700, running mean: 3.317466
ep: 64800, running mean: 3.264869
ep: 64900, running mean: 3.167002
ep: 65000, running mean: 3.244122
ep: 65100, running mean: 3.143186
ep: 65200, running mean: 2.995799
ep: 65300, running mean: 2.995597
ep: 65400, running mean: 2.922131
ep: 65500, running mean: 2.755656
ep: 65600, running mean: 2.623274
ep: 65700, running mean: 2.446667
ep: 65800, running mean: 2.576783
ep: 65900, running mean: 2.619486
ep: 66000, running mean: 2.736883
ep: 66100, running mean: 2.786192
ep: 66200, running mean: 2.782116
ep: 66300, running mean: 2.590711
ep: 66400, running mean: 2.585016
ep: 66500, running mean: 2.472959
ep: 66600, running mean: 2.333939
ep: 66700, running mean: 2.316234
ep: 66800, running mean: 2.309838
ep: 66900, running mean: 2.184124
ep: 67000, running mean: 2.224207
ep: 67100, running mean: 2.085915
ep: 67200, running mean: 2.171902
ep: 67300, running mean: 2.191415
ep: 67400, running mean: 2.167544
ep: 67500, running mean: 2.248591
ep: 67600, running mean: 2.302097
ep: 67700, running mean: 2.270518
ep: 67800, running mean: 2.284448
ep: 67900, running mean: 2.292028
ep: 68000, running mean: 2.358994
ep: 68100, running mean: 2.227718
ep: 68200, running mean: 2.375315
ep: 68300, running mean: 2.418017
ep: 68400, running mean: 2.315952
ep: 68500, running mean: 2.419714
ep: 68600, running mean: 2.593285
ep: 68700, running mean: 2.537132
ep: 68800, running mean: 2.563610
ep: 68900, running mean: 2.624661
ep: 69000, running mean: 2.847472
ep: 69100, running mean: 2.765649
ep: 69200, running mean: 2.710485
ep: 69300, running mean: 2.721367
ep: 69400, running mean: 2.770784
ep: 69500, running mean: 2.674657
ep: 69600, running mean: 2.553462
ep: 69700, running mean: 2.521915
ep: 69800, running mean: 2.624621
ep: 69900, running mean: 2.544515
ep: 70000, running mean: 2.628807
ep: 70100, running mean: 2.781614
ep: 70200, running mean: 2.798596
ep: 70300, running mean: 2.796055
ep: 70400, running mean: 2.758911
ep: 70500, running mean: 2.686988
ep: 70600, running mean: 2.813350
ep: 70700, running mean: 2.787497
ep: 70800, running mean: 2.755776
ep: 70900, running mean: 2.800172
ep: 71000, running mean: 2.915865
ep: 71100, running mean: 2.979980
ep: 71200, running mean: 3.096099
ep: 71300, running mean: 2.970165
ep: 71400, running mean: 2.835697
ep: 71500, running mean: 2.929527
ep: 71600, running mean: 2.994682
ep: 71700, running mean: 3.187328
ep: 71800, running mean: 3.110577
ep: 71900, running mean: 3.172126
ep: 72000, running mean: 3.023129
ep: 72100, running mean: 3.007730
ep: 72200, running mean: 3.002525
ep: 72300, running mean: 3.004490
ep: 72400, running mean: 3.003777
ep: 72500, running mean: 3.080768
ep: 72600, running mean: 3.109003
ep: 72700, running mean: 3.025568
ep: 72800, running mean: 3.003980
ep: 72900, running mean: 2.980804
ep: 73000, running mean: 2.976990
ep: 73100, running mean: 2.915879
ep: 73200, running mean: 2.805283
ep: 73300, running mean: 2.975412
ep: 73400, running mean: 2.955590
ep: 73500, running mean: 2.998352
ep: 73600, running mean: 2.921124
ep: 73700, running mean: 2.947224
ep: 73800, running mean: 2.803648
ep: 73900, running mean: 2.669677
ep: 74000, running mean: 2.650757
ep: 74100, running mean: 2.608545
ep: 74200, running mean: 2.322281
ep: 74300, running mean: 2.402796
ep: 74400, running mean: 2.348668
ep: 74500, running mean: 2.330723
ep: 74600, running mean: 2.221266
ep: 74700, running mean: 2.278498
ep: 74800, running mean: 2.102523
ep: 74900, running mean: 2.031988
ep: 75000, running mean: 2.052957
ep: 75100, running mean: 2.065426
ep: 75200, running mean: 2.155468
ep: 75300, running mean: 2.273166
ep: 75400, running mean: 2.206654
ep: 75500, running mean: 2.344316
ep: 75600, running mean: 2.443665
ep: 75700, running mean: 2.441434
ep: 75800, running mean: 2.400917
ep: 75900, running mean: 2.369275
ep: 76000, running mean: 2.373740
ep: 76100, running mean: 2.414114
ep: 76200, running mean: 2.355918
ep: 76300, running mean: 2.513723
ep: 76400, running mean: 2.538946
ep: 76500, running mean: 2.411703
ep: 76600, running mean: 2.486731
ep: 76700, running mean: 2.518382
ep: 76800, running mean: 2.717925
ep: 76900, running mean: 2.551462
ep: 77000, running mean: 2.424187
ep: 77100, running mean: 2.307686
ep: 77200, running mean: 2.297689
ep: 77300, running mean: 2.327257
ep: 77400, running mean: 2.261748
ep: 77500, running mean: 2.314414
ep: 77600, running mean: 2.472329
ep: 77700, running mean: 2.654174
ep: 77800, running mean: 2.552223
ep: 77900, running mean: 2.576299
ep: 78000, running mean: 2.518858
ep: 78100, running mean: 2.591868
ep: 78200, running mean: 2.650560
ep: 78300, running mean: 2.530880
ep: 78400, running mean: 2.729790
ep: 78500, running mean: 2.697259
ep: 78600, running mean: 2.500110
ep: 78700, running mean: 2.410264
ep: 78800, running mean: 2.408481
ep: 78900, running mean: 2.366727
ep: 79000, running mean: 2.446965
ep: 79100, running mean: 2.443818
ep: 79200, running mean: 2.418136
ep: 79300, running mean: 2.450613
ep: 79400, running mean: 2.485185
ep: 79500, running mean: 2.397403
ep: 79600, running mean: 2.491440
ep: 79700, running mean: 2.367503
ep: 79800, running mean: 2.372707
ep: 79900, running mean: 2.452168
ep: 80000, running mean: 2.349117
ep: 80100, running mean: 2.409551
ep: 80200, running mean: 2.604282
ep: 80300, running mean: 2.662345
ep: 80400, running mean: 2.669979
ep: 80500, running mean: 2.774279
